customerkey,productkey,datekey,actionkey,price,qty
22,11,20050101,4,3000,1
18,7,20050101,4,200,2
22,11,20050102,5,3000,1
19,8,20050310,4,500,4
18,11,20050301,4,3000,1
18,7,20050401,4,200,1
17,11,20050101,4,3000,14
23,7,20050501,4,200,2
20,8,20050510,4,500,4
18,11,20050601,4,3000,1
18,7,20050711,4,200,1
18,11,20060315,4,3000,1
18,7,20060419,4,200,1
17,11,20060101,4,3000,11
23,7,20060501,4,200,2
20,8,20060510,4,500,4
18,11,20060608,4,3000,1
18,7,20060711,4,200,1
20,11,20070301,4,3000,1
19,7,20070401,4,200,1
17,11,20070101,4,3000,11
18,7,20070901,4,200,2
20,8,20071210,4,500,4
