Pk_Dt_Key,D_Day,D_Month,D_Year,D_Date
20050812,12,August,2005,08/12/2005 00:00:00
20050813,13,August,2005,08/13/2005 00:00:00
20050814,14,August,2005,08/14/2005 00:00:00
20050815,15,August,2005,08/15/2005 00:00:00
20050816,16,August,2005,08/16/2005 00:00:00
20050817,17,August,2005,08/17/2005 00:00:00
20050818,18,August,2005,08/18/2005 00:00:00
20050819,19,August,2005,08/19/2005 00:00:00
20050820,20,August,2005,08/20/2005 00:00:00
20050821,21,August,2005,08/21/2005 00:00:00
20050822,22,August,2005,08/22/2005 00:00:00
20050823,23,August,2005,08/23/2005 00:00:00
20050824,24,August,2005,08/24/2005 00:00:00
20050825,25,August,2005,08/25/2005 00:00:00
20050826,26,August,2005,08/26/2005 00:00:00
20050827,27,August,2005,08/27/2005 00:00:00
20050828,28,August,2005,08/28/2005 00:00:00
20050829,29,August,2005,08/29/2005 00:00:00
20050830,30,August,2005,08/30/2005 00:00:00
20050831,31,August,2005,08/31/2005 00:00:00
20050901,01,September,2005,09/01/2005 00:00:00
20050902,02,September,2005,09/02/2005 00:00:00
20050903,03,September,2005,09/03/2005 00:00:00
20050904,04,September,2005,09/04/2005 00:00:00
20050905,05,September,2005,09/05/2005 00:00:00
20050906,06,September,2005,09/06/2005 00:00:00
20050907,07,September,2005,09/07/2005 00:00:00
20050908,08,September,2005,09/08/2005 00:00:00
20050909,09,September,2005,09/09/2005 00:00:00
20050910,10,September,2005,09/10/2005 00:00:00
20050911,11,September,2005,09/11/2005 00:00:00
20050912,12,September,2005,09/12/2005 00:00:00
20050913,13,September,2005,09/13/2005 00:00:00
20050914,14,September,2005,09/14/2005 00:00:00
20050915,15,September,2005,09/15/2005 00:00:00
20050916,16,September,2005,09/16/2005 00:00:00
20050917,17,September,2005,09/17/2005 00:00:00
20050918,18,September,2005,09/18/2005 00:00:00
20050919,19,September,2005,09/19/2005 00:00:00
20050920,20,September,2005,09/20/2005 00:00:00
20050921,21,September,2005,09/21/2005 00:00:00
20050922,22,September,2005,09/22/2005 00:00:00
20050923,23,September,2005,09/23/2005 00:00:00
20050924,24,September,2005,09/24/2005 00:00:00
20050925,25,September,2005,09/25/2005 00:00:00
20050926,26,September,2005,09/26/2005 00:00:00
20050927,27,September,2005,09/27/2005 00:00:00
20050928,28,September,2005,09/28/2005 00:00:00
20050929,29,September,2005,09/29/2005 00:00:00
20050930,30,September,2005,09/30/2005 00:00:00
20051001,01,October,2005,10/01/2005 00:00:00
20051002,02,October,2005,10/02/2005 00:00:00
20051003,03,October,2005,10/03/2005 00:00:00
20051004,04,October,2005,10/04/2005 00:00:00
20051005,05,October,2005,10/05/2005 00:00:00
20051006,06,October,2005,10/06/2005 00:00:00
20051007,07,October,2005,10/07/2005 00:00:00
20051008,08,October,2005,10/08/2005 00:00:00
20051009,09,October,2005,10/09/2005 00:00:00
20051010,10,October,2005,10/10/2005 00:00:00
20051011,11,October,2005,10/11/2005 00:00:00
20051012,12,October,2005,10/12/2005 00:00:00
20051013,13,October,2005,10/13/2005 00:00:00
20051014,14,October,2005,10/14/2005 00:00:00
20051015,15,October,2005,10/15/2005 00:00:00
20051016,16,October,2005,10/16/2005 00:00:00
20051017,17,October,2005,10/17/2005 00:00:00
20051018,18,October,2005,10/18/2005 00:00:00
20051019,19,October,2005,10/19/2005 00:00:00
20051020,20,October,2005,10/20/2005 00:00:00
20051021,21,October,2005,10/21/2005 00:00:00
20051022,22,October,2005,10/22/2005 00:00:00
20051023,23,October,2005,10/23/2005 00:00:00
20051024,24,October,2005,10/24/2005 00:00:00
20051025,25,October,2005,10/25/2005 00:00:00
20051026,26,October,2005,10/26/2005 00:00:00
20051027,27,October,2005,10/27/2005 00:00:00
20051028,28,October,2005,10/28/2005 00:00:00
20051029,29,October,2005,10/29/2005 00:00:00
20051030,30,October,2005,10/30/2005 00:00:00
20051031,31,October,2005,10/31/2005 00:00:00
20051101,01,November,2005,11/01/2005 00:00:00
20051102,02,November,2005,11/02/2005 00:00:00
20051103,03,November,2005,11/03/2005 00:00:00
20051104,04,November,2005,11/04/2005 00:00:00
20051105,05,November,2005,11/05/2005 00:00:00
20051106,06,November,2005,11/06/2005 00:00:00
20051107,07,November,2005,11/07/2005 00:00:00
20051108,08,November,2005,11/08/2005 00:00:00
20051109,09,November,2005,11/09/2005 00:00:00
20051110,10,November,2005,11/10/2005 00:00:00
20051111,11,November,2005,11/11/2005 00:00:00
20051112,12,November,2005,11/12/2005 00:00:00
20051113,13,November,2005,11/13/2005 00:00:00
20051114,14,November,2005,11/14/2005 00:00:00
20051115,15,November,2005,11/15/2005 00:00:00
20051116,16,November,2005,11/16/2005 00:00:00
20051117,17,November,2005,11/17/2005 00:00:00
20051118,18,November,2005,11/18/2005 00:00:00
20051119,19,November,2005,11/19/2005 00:00:00
20051120,20,November,2005,11/20/2005 00:00:00
20051121,21,November,2005,11/21/2005 00:00:00
20051122,22,November,2005,11/22/2005 00:00:00
20051123,23,November,2005,11/23/2005 00:00:00
20051124,24,November,2005,11/24/2005 00:00:00
20051125,25,November,2005,11/25/2005 00:00:00
20051126,26,November,2005,11/26/2005 00:00:00
20051127,27,November,2005,11/27/2005 00:00:00
20051128,28,November,2005,11/28/2005 00:00:00
20051129,29,November,2005,11/29/2005 00:00:00
20051130,30,November,2005,11/30/2005 00:00:00
20051201,01,December,2005,12/01/2005 00:00:00
20051202,02,December,2005,12/02/2005 00:00:00
20051203,03,December,2005,12/03/2005 00:00:00
20051204,04,December,2005,12/04/2005 00:00:00
20051205,05,December,2005,12/05/2005 00:00:00
20051206,06,December,2005,12/06/2005 00:00:00
20051207,07,December,2005,12/07/2005 00:00:00
20051208,08,December,2005,12/08/2005 00:00:00
20051209,09,December,2005,12/09/2005 00:00:00
20051210,10,December,2005,12/10/2005 00:00:00
20051211,11,December,2005,12/11/2005 00:00:00
20051212,12,December,2005,12/12/2005 00:00:00
20051213,13,December,2005,12/13/2005 00:00:00
20051214,14,December,2005,12/14/2005 00:00:00
20051215,15,December,2005,12/15/2005 00:00:00
20051216,16,December,2005,12/16/2005 00:00:00
20051217,17,December,2005,12/17/2005 00:00:00
20051218,18,December,2005,12/18/2005 00:00:00
20051219,19,December,2005,12/19/2005 00:00:00
20051220,20,December,2005,12/20/2005 00:00:00
20051221,21,December,2005,12/21/2005 00:00:00
20051222,22,December,2005,12/22/2005 00:00:00
20051223,23,December,2005,12/23/2005 00:00:00
20051224,24,December,2005,12/24/2005 00:00:00
20051225,25,December,2005,12/25/2005 00:00:00
20051226,26,December,2005,12/26/2005 00:00:00
20051227,27,December,2005,12/27/2005 00:00:00
20051228,28,December,2005,12/28/2005 00:00:00
20051229,29,December,2005,12/29/2005 00:00:00
20051230,30,December,2005,12/30/2005 00:00:00
20051231,31,December,2005,12/31/2005 00:00:00
20060101,01,January,2006,01/01/2006 00:00:00
20060102,02,January,2006,01/02/2006 00:00:00
20060103,03,January,2006,01/03/2006 00:00:00
20060104,04,January,2006,01/04/2006 00:00:00
20060105,05,January,2006,01/05/2006 00:00:00
20060106,06,January,2006,01/06/2006 00:00:00
20060107,07,January,2006,01/07/2006 00:00:00
20060108,08,January,2006,01/08/2006 00:00:00
20060109,09,January,2006,01/09/2006 00:00:00
20060110,10,January,2006,01/10/2006 00:00:00
20060111,11,January,2006,01/11/2006 00:00:00
20060112,12,January,2006,01/12/2006 00:00:00
20060113,13,January,2006,01/13/2006 00:00:00
20060114,14,January,2006,01/14/2006 00:00:00
20060115,15,January,2006,01/15/2006 00:00:00
20060116,16,January,2006,01/16/2006 00:00:00
20060117,17,January,2006,01/17/2006 00:00:00
20060118,18,January,2006,01/18/2006 00:00:00
20060119,19,January,2006,01/19/2006 00:00:00
20060120,20,January,2006,01/20/2006 00:00:00
20060121,21,January,2006,01/21/2006 00:00:00
20060122,22,January,2006,01/22/2006 00:00:00
20060123,23,January,2006,01/23/2006 00:00:00
20060124,24,January,2006,01/24/2006 00:00:00
20060125,25,January,2006,01/25/2006 00:00:00
20060126,26,January,2006,01/26/2006 00:00:00
20060127,27,January,2006,01/27/2006 00:00:00
20060128,28,January,2006,01/28/2006 00:00:00
20060129,29,January,2006,01/29/2006 00:00:00
20060130,30,January,2006,01/30/2006 00:00:00
20060131,31,January,2006,01/31/2006 00:00:00
20060201,01,February,2006,02/01/2006 00:00:00
20060202,02,February,2006,02/02/2006 00:00:00
20060203,03,February,2006,02/03/2006 00:00:00
20060204,04,February,2006,02/04/2006 00:00:00
20060205,05,February,2006,02/05/2006 00:00:00
20060206,06,February,2006,02/06/2006 00:00:00
20060207,07,February,2006,02/07/2006 00:00:00
20060208,08,February,2006,02/08/2006 00:00:00
20060209,09,February,2006,02/09/2006 00:00:00
20060210,10,February,2006,02/10/2006 00:00:00
20060211,11,February,2006,02/11/2006 00:00:00
20060212,12,February,2006,02/12/2006 00:00:00
20060213,13,February,2006,02/13/2006 00:00:00
20060214,14,February,2006,02/14/2006 00:00:00
20060215,15,February,2006,02/15/2006 00:00:00
20060216,16,February,2006,02/16/2006 00:00:00
20060217,17,February,2006,02/17/2006 00:00:00
20060218,18,February,2006,02/18/2006 00:00:00
20060219,19,February,2006,02/19/2006 00:00:00
20060220,20,February,2006,02/20/2006 00:00:00
20060221,21,February,2006,02/21/2006 00:00:00
20060222,22,February,2006,02/22/2006 00:00:00
20060223,23,February,2006,02/23/2006 00:00:00
20060224,24,February,2006,02/24/2006 00:00:00
20060225,25,February,2006,02/25/2006 00:00:00
20060226,26,February,2006,02/26/2006 00:00:00
20060227,27,February,2006,02/27/2006 00:00:00
20060228,28,February,2006,02/28/2006 00:00:00
20060301,01,March,2006,03/01/2006 00:00:00
20060302,02,March,2006,03/02/2006 00:00:00
20060303,03,March,2006,03/03/2006 00:00:00
20060304,04,March,2006,03/04/2006 00:00:00
20060305,05,March,2006,03/05/2006 00:00:00
20060306,06,March,2006,03/06/2006 00:00:00
20060307,07,March,2006,03/07/2006 00:00:00
20060308,08,March,2006,03/08/2006 00:00:00
20060309,09,March,2006,03/09/2006 00:00:00
20060310,10,March,2006,03/10/2006 00:00:00
20060311,11,March,2006,03/11/2006 00:00:00
20060312,12,March,2006,03/12/2006 00:00:00
20060313,13,March,2006,03/13/2006 00:00:00
20060314,14,March,2006,03/14/2006 00:00:00
20060315,15,March,2006,03/15/2006 00:00:00
20060316,16,March,2006,03/16/2006 00:00:00
20060317,17,March,2006,03/17/2006 00:00:00
20060318,18,March,2006,03/18/2006 00:00:00
20060319,19,March,2006,03/19/2006 00:00:00
20060320,20,March,2006,03/20/2006 00:00:00
20060321,21,March,2006,03/21/2006 00:00:00
20060322,22,March,2006,03/22/2006 00:00:00
20060323,23,March,2006,03/23/2006 00:00:00
20060324,24,March,2006,03/24/2006 00:00:00
20060325,25,March,2006,03/25/2006 00:00:00
20060326,26,March,2006,03/26/2006 00:00:00
20060327,27,March,2006,03/27/2006 00:00:00
20060328,28,March,2006,03/28/2006 00:00:00
20060329,29,March,2006,03/29/2006 00:00:00
20060330,30,March,2006,03/30/2006 00:00:00
20060331,31,March,2006,03/31/2006 00:00:00
20060401,01,April,2006,04/01/2006 00:00:00
20060402,02,April,2006,04/02/2006 00:00:00
20060403,03,April,2006,04/03/2006 00:00:00
20060404,04,April,2006,04/04/2006 00:00:00
20060405,05,April,2006,04/05/2006 00:00:00
